,0,1,2
0,,0,1
1,0.0,review,rating
2,1.0,Absolute Masterpiece i hate the people who gave this beautiful game 1 star just because you don't have the storage to play it that doesn't mean that is there problem.,5
3,2.0,amazing but the fandom isn't amazing,5
4,3.0,Very nice,5
5,4.0,Give me gambling money (primo gems),4
6,5.0,"This is one my first Open World RPG games, and I think I never have loved a game as much as this... The graphics, character designs, the waifus are all amazing, even the story is kinda good... But the updates are dry and the content is not enough when one is at endgame, so hv recently been burnt out. I would love it if they devs can think of a way to entice old players to stay. Also give better rewards man.",4
7,6.0,It's awesome the best game available in Play Store for sure,5
8,7.0,I keep trying to play but it keeps on saying there is some type of error on it it wasn't worth it!,1
9,8.0,"Love the exploration (Except the whole of sumeru), the lore is good, the character designs are just getting better & better! But, u need to give out better rewards, the primogems are not enough! Plus the grind is always repetitive, artifact system sucks, abyss rewards needs to be raised, lack of end game content, and the quests are BORING! The quests are too lengthy and most of the time, uninteresting. Please add dialogue and/or a skip button!",1
10,9.0,"Keep you greedy, even the returnee event you take back XD, but thanks, because your greedy i can totally stop playing genshin and other mihoyo games, thanks to snow break become alternative and other open world game",1
11,10.0,Gud,5
12,11.0,I signed in super excited just to keep getting something popping up saying hint but it makes no sense and it won't let me in the game...,1
13,12.0,Miserly game,1
14,13.0,It is very good game,5
15,14.0,"I love it sm. The story is literally awesome!!! I also love the fact about all the theories you can make. I also love and respect how they have made so the gods (the archons) have devil names from the ars goetia. That's just a cool detail i noticed not a while ago. I'm very excited to visit all the nations in Teyvat. Great game, and i look forward to the future of the game. 👍",5
16,15.0,"it keeps telling me I need to make more space on my phone even though, only 53 percent of my storage is taken up",1
17,16.0,I love it,5
18,17.0,The game does not let me play,1
19,18.0,Genshin could never,1
20,19.0,A sigma skibidi pomni digital Fortnite chamba rizz flow xxxtentacion,1
21,20.0,"Been playing for almost 3 years now and the gaming experience is still awesome. Story line is also good. Just a small request to the devs 😊, hope you guys can add different zoom angles, especially wide angles on all gaming platforms. This would definitely help a lot and also to enjoy the scenery more if roaming the region on a wide screen perspective. Thank you.",5
22,21.0,please genshin give me knave,5
23,22.0,"im chinese, so ye",5
24,23.0,Good,5
25,24.0,The best RPG game I've played in these years of searching,4
26,25.0,Yaaaassssss,5
27,26.0,"While Genshin is amazing, there is absolutely no reason it should be this large of a game. Why does it need 36GB to be able to run? Please do some compression on the app size.",2
28,27.0,Badd,1
29,28.0,Best game!!!,5
30,29.0,Just perfect,5
31,30.0,Rewards could be better,4
32,31.0,Working play with genshin impact. Hindi nakakasawa laroin. Almost 1 year na ako nag lalaro go more power more updates new character more 5star goooo genshin,5
33,32.0,Very nice and adventurous game,5
34,33.0,This game is lovely 😭😭😭,5
35,34.0,"If buying isn't owning, then pirating isn't stealing. 😎",1
36,35.0,"I love this game great story, great character, best interactive voice line, stunning game design & map , good boss fight and best for best character guide where beginners build their character This game is also good for p2w and f2p For spiral abyss you don't need c6 character or weapon to complete All you need is the saving primo waiting until you got your character (16k) primo min just for safety purpose Bad side is the game 50-50 pity system after you got guarantee character",5
37,36.0,Worst game in my life yes it's number 1 game but most worst number 1 game don't download it it's so lag,1
38,37.0,Fun,5
39,38.0,I like genshin because of the lore usually games like that are more focused on like main history events like french revolution and put it in they're way into the game but with genshin the difference it's that they put stuff like Peniheri into it what's based on a real life book from the 1500s I like that underrated stuff of history and I like that hoyoverse puts it into the game I do like the game design too,5
40,39.0,Cool but I wish the game whould a lot smaller the game seems like a trial for 9 days couse of the updates,4
41,40.0,Majaa game ehh 💥,4
42,41.0,Full with adventure I like this game,5
43,42.0,A nice game but some of the prologue are kinda boring,4
44,43.0,Good,4
45,44.0,br ma ma pyaw talk bu သူငယ်ချင်းနဲ့ချိတ်ဆော့,5
46,45.0,Getting worst the more you update I can't even play game now on PC terrible,1
47,46.0,My review did not get accommodated and it didn't get responded to. The issues are still here after all the customer service told me to do I think it's the games problem not my phone or internet. I hope your employees can at least respend to people's reviews and fix the games issues. I hope my review can help the game and potentially other people. Thanks!,1
48,47.0,It's good but it consumes so much data to load. But the graphics is so good,4
49,48.0,Best game,5
50,49.0,They keep removing my review.,1
51,50.0,Best gams everrrrr,5
52,51.0,Ok,5
